ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
3.4.3	Deskriptor	Einstellung	Gewissenhaftigkeit	Integrität		Ehrlichkeit und ethisches Verhalten												https://www.onetonline.org/find/descriptor/result/1.C.5.c	
5.1.1	Kompetenz	Fachkompetenz	Application Engineering	ICT-Lösungen mit Blockchain Technologie umsetzen		Identifiziert Anwendungsmöglichkeiten der Blockchain-Technologie im eigenen beruflichen Alltag. Entwickelt mittels einer geeigneten Blockchain-Technologie eine ICT-Lösung für den eigenen Betrieb oder für das betriebliche Umfeld. 	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Plattformentwicklung										
5.1.2	Kompetenz	Fachkompetenz	Application Engineering	Benutzerschnittstellen implementieren		Benutzerschnittstellen für eine Applikation entwerfen und implementieren. Dabei Standards und ergonomische Anforderungen beachten.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Betriebsinformatik	Informatiker/in EFZ, Systemtechnik	Betriebsinformatiker/in EFZ								Ergonomie, Usability
5.1.3	Kompetenz	Fachkompetenz	Application Engineering	Applikationen für die Produktion vorbereiten		Rahmenbedingungen von Applikationen (Eigenentwicklung oder Zukauf) konsultieren und erforderliche Einführungs-Aktivitäten identifizieren. Vorbereitungsarbeiten planen, abstimmen, veranlassen und Übergabe an die Produktion einleiten.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Betriebsinformatik	Informatiker/in EFZ, Systemtechnik	Betriebsinformatiker/in EFZ	Mediamatiker/in EFZ							
5.1.4	Kompetenz	Fachkompetenz	Application Engineering	Applikationssicherheit implementieren		Applikationen sicher planen, entwickeln und in Betrieb nehmen.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Betriebsinformatik	Informatiker/in EFZ, Systemtechnik	Betriebsinformatiker/in EFZ								
5.1.5	Kompetenz	Fachkompetenz	Application Engineering	Softwarearchitektur erarbeiten		Erarbeitet die Software‐Architektur einer zu entwickelnden Applikation basierend auf funktionalen und nicht‐funktionalen Anforderungen.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Betriebsinformatik	Informatiker/in EFZ, Systemtechnik	Betriebsinformatiker/in EFZ								Architekturen
5.1.6	Kompetenz	Fachkompetenz	Application Engineering	Public Cloud für Anwendungen nutzen		Definiert die Nutzung von Cloud Services (Container- und Serverless Technologien) hinsichtlich der betrieblichen Anforderung für eine Beispielanwendung und realisiert die gewählte Lösung mit Hilfe von CI/CD Prozessen.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Plattformentwicklung										
5.1.7	Kompetenz	Fachkompetenz	Application Engineering	Multi-User-Applikationen objektorientiert realisieren		Multi-User-Applikation objektorientiert entwerfen, erforderliche Datenbankanpassungen vornehmen und Applikation implementieren, testen und dokumentieren.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Plattformentwicklung										
5.1.8	Kompetenz	Fachkompetenz	Application Engineering	Klassenbasiert (ohne Vererbung) implementieren		Anforderungen in ein Klassendesign ohne Vererbung umsetzen und mit einer objektorientierten Programmiersprache implementieren, dokumentieren und testen.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Plattformentwicklung										
5.1.9	Kompetenz	Fachkompetenz	Application Engineering	Objektorientiert (mit Vererbung) implementieren		Ein objektorientiertes Design (OOD) implementieren, testen und dokumentieren.	ICT	Informatiker/in EFZ, Applikationsentwicklung	Informatiker/in EFZ, Plattformentwicklung	Informatiker/in EFZ, Betriebsinformatik	Informatiker/in EFZ, Systemtechnik	Betriebsinformatiker/in EFZ	Gebäudeinformatiker/in EFZ, Kommunikation und Multimedia						
